date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:03:49	20445/20445	---M-Z	200	added ('OK')	text/html	date:Wed,%2004%20Apr%202018%2011:59:56%20GMT	http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/index.html	C:/wamp64/www/Yash/paid%20template/theme/themes.sindevo.com/the-wedding-date/the-wedding-date-01/index.html	(from )
15:03:50	462/462	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Apr%202019%2005:43:48%20GMT	http://themes.sindevo.com/robots.txt		(from )
15:03:51	45025/45025	---M--	200	added ('OK')	text/css	date:Wed,%2004%20Apr%202018%2011:59:56%20GMT	http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/style.css	C:/wamp64/www/Yash/paid%20template/theme/themes.sindevo.com/the-wedding-date/the-wedding-date-01/style.css	(from http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/index.html)
15:03:52	3114/3114	---M--	200	added ('OK')	text/css	date:Thu,%2006%20Apr%202017%2014:37:23%20GMT	http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/css/intro.css	C:/wamp64/www/Yash/paid%20template/theme/themes.sindevo.com/the-wedding-date/the-wedding-date-01/css/intro.css	(from http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/index.html)
15:03:53	27478/27478	---M--	200	added ('OK')	text/css	date:Thu,%2006%20Apr%202017%2014:37:24%20GMT	http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/css/animsition.min.css	C:/wamp64/www/Yash/paid%20template/theme/themes.sindevo.com/the-wedding-date/the-wedding-date-01/css/animsition.min.css	(from http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/index.html)
15:03:53	5417/5417	---M--	200	added ('OK')	text/css	date:Thu,%2006%20Apr%202017%2014:37:25%20GMT	http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/css/swipebox.css	C:/wamp64/www/Yash/paid%20template/theme/themes.sindevo.com/the-wedding-date/the-wedding-date-01/css/swipebox.css	(from http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/index.html)
15:03:54	1675/1675	---M--	200	added ('OK')	text/css	date:Thu,%2006%20Apr%202017%2014:37:47%20GMT	http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/owl-carousel/owl.carousel.css	C:/wamp64/www/Yash/paid%20template/theme/themes.sindevo.com/the-wedding-date/the-wedding-date-01/owl-carousel/owl.carousel.css	(from http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/index.html)
15:03:55	1761/1761	---M--	200	added ('OK')	text/css	date:Thu,%2006%20Apr%202017%2014:37:48%20GMT	http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/owl-carousel/owl.theme.css	C:/wamp64/www/Yash/paid%20template/theme/themes.sindevo.com/the-wedding-date/the-wedding-date-01/owl-carousel/owl.theme.css	(from http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/index.html)
15:03:56	1847/1847	---M--	200	added ('OK')	text/css	date:Thu,%2006%20Apr%202017%2014:37:49%20GMT	http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/owl-carousel/owl.themecarousel.css	C:/wamp64/www/Yash/paid%20template/theme/themes.sindevo.com/the-wedding-date/the-wedding-date-01/owl-carousel/owl.themecarousel.css	(from http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/index.html)
15:03:57	4476/4476	---M--	200	added ('OK')	text/css	date:Thu,%2006%20Apr%202017%2014:37:49%20GMT	http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/owl-carousel/owl.transitions.css	C:/wamp64/www/Yash/paid%20template/theme/themes.sindevo.com/the-wedding-date/the-wedding-date-01/owl-carousel/owl.transitions.css	(from http://themes.sindevo.com/the-wedding-date/the-wedding-date-01/index.html)
